JRO1	46.27513	-122.21761	1276
P689	46.18955	-122.36062	1359
P690	46.17999	-122.18987	2079
P691	46.23148	-122.22696	1183
P692	46.22450	-122.18421	1492
P693	46.21032	-122.20235	2113
P694	46.29963	-122.18193	1725
P695	46.19899	-122.16421	2016
P696	46.19688	-122.15163	1600
P697	46.18764	-122.17661	2215
P698	46.17347	-122.16061	1479
P699	46.18978	-122.20323	2274
P700	46.17814	-122.21736	1522
P701	46.19463	-122.13335	1247
P702	46.30016	-122.34565	1306
P703	46.14526	-122.19619	988
P705	46.17296	-122.31059	1151
SEPR	46.20033	-122.19105	2101
TGUA	46.21920	-122.19233	1618
THAR	46.27525	-122.17403	1431
TSEP	46.20001	-122.19068	2105
TSTU	46.23687	-122.22406	1249
TWIW	46.21292	-122.15873	1631
TWRI	46.19790	-122.21193	2071
